position,handle,product_id,title,ratio_in_collection,tier,sold_out,views_90d
93,calista-top,10831609299277,Calista Top,0.69,New,no,207
94,aveline-skirt,10831781691725,Aveline Skirt,0.69,New,no,171
95,odelia-dress-1,10833920721229,Odelia Dress,0.69,New,no,394
96,inessa-dress,10833969807693,Inessa Dress,0.69,New,no,382
97,oriella-kimono,10833820385613,Oriella Kimono,0.68,New,no,397
98,elara-top,10831695315277,Elara Top,0.68,New,no,222
99,mirea-dress,10833985175885,Mirea Dress,0.67,New,no,179
100,zinnia-cape,10834735432013,Zinnia Cape,0.67,New,no,192
101,maelle-skirt,10831789752653,Maelle Skirt,0.67,New,no,230
102,novalie-dress,10833931174221,Novalie Dress,0.66,New,no,206
103,vianne-dress,10833912070477,Vianne Dress,0.66,New,no,355
104,faline-dress-copy,10847566528845,Rosalie Dress,0.66,New,no,362
105,lysandra-skirt,10833814716749,Lysandra Skirt,0.66,New,no,186
106,malina-dress,10834710036813,Malina Dress,0.66,New,no,353
107,leonora-cape,10831717695821,Leonora Cape,0.66,New,no,190
108,maristella-cape-1,10834734645581,Maristella Cape,0.65,New,no,283
109,althea-skirt,10833805377869,Althea  Skirt,0.65,New,no,362
110,tessa-dress,10834101633357,Tessa Dress,0.65,New,no,370
111,talia-dress-1,10834083283277,Talia Dress,0.65,New,no,261
112,eulalia-skirt,10833806360909,Eulalia Skirt,0.65,New,no,298
113,leandra-dress-1,10833971741005,Leandra Dress,0.65,New,no,339
114,katia-jumsuit,10834722324813,Katia Jumsuit,0.64,New,no,347
115,copy-copy-79,10833934483789,Novalie LIMITED,0.64,New,no,293
116,elowen-top,10831611429197,Elowen Top,0.64,New,no,255
117,zelie-cape-1,10831669330253,Zelie Cape,0.64,New,no,225
118,sorelia-limited,10833928782157,Sorelia LIMITED,0.64,New,no,319
119,tessa-limited,10834115395917,Tessa LIMITED,0.63,New,no,307
120,orietta-dress,10833897455949,Orietta Dress,0.63,New,no,277
121,eloise-dress-1,10850840478029,Eloise Dress,0.63,New,no,281
122,kalina-dress,10834708365645,Kalina Dress,2.17,New,yes,1878
123,kiara-limited,10834095440205,Kiara LIMITED,0.66,New,yes,365
124,kiara-dress,10834094031181,Kiara Dress,0.66,New,yes,309
