position,handle,product_id,title,ratio_in_collection,tier,sold_out,views_90d
1,indra-dress-copy,10298905690445,Indra Brown Dress,1.71,Strong,yes,4301
2,iliana-dress,10248477278541,Iliana Dress,0.29,Low,yes,295
