position,handle,product_id,title,ratio_in_collection,tier,sold_out,views_90d
1,zoe-pants,10564703289677,Zoe Παντελόνα,2.82,Strong,no,5365
2,elyra-pants,10563246784845,Elyra Παντελόνα,1.06,Average,no,2146
3,shona-pants,10564789961037,Shona Παντελόνα,1.03,Average,no,2403
4,debbie-pants,10564787011917,Debbie Παντελόνα,0.85,Average,no,1455
5,rayne-pants,10564908613965,Rayne Παντελόνα,0.95,Average,yes,2358
6,calypso-pants,10559196856653,Calypso Παντελόνα,0.83,Average,yes,1288
7,elma-pants,10566039175501,Elma Παντελόνα,0.35,Low,yes,585
8,ines-pants-1,10564803887437,Ines Παντελόνα,0.11,Low,yes,308
