position,handle,product_id,title,ratio_in_collection,tier,sold_out,views_90d
1,alessia-kimono,10833837261133,Alessia Kimono,1.72,New,no,694
2,ameline-kimono,10833834901837,Ameline  Kimono,1.44,New,no,802
3,leonie-kimono,10833830773069,Leonie Kimono,1.11,New,no,744
4,valeria-kimono,10833826283853,Valeria Kimono,0.88,New,no,533
5,sabine-kimono,10833829331277,Sabine Kimono,0.87,New,no,531
6,sereia-kimono,10833841258829,Sereia Kimono,0.80,New,no,461
7,oriella-kimono,10833820385613,Oriella Kimono,0.77,New,no,397
