position,handle,product_id,title,ratio_in_collection,tier,sold_out,views_90d
78,zaria-jumpsuit,10563145236813,Zaria Ολόσωμη φόρμα,0.73,Average,yes,2725
79,azalea-dress,10566201803085,Azalea Φόρεμα,0.68,Average,yes,2620
80,shona-kimono,10564823515469,Shona Κιμονό,0.65,Average,yes,2703
81,calypso-shirt-blue,10559144755533,Calypso Πουκάμισο γαλάζιο,0.60,Average,yes,1768
82,midas-dress,10566098714957,Midas Φόρεμα,0.58,Average,yes,2333
83,astra-dress,10566182437197,Astra Φόρεμα,0.55,Average,yes,1454
84,livia-jumpsuit,10563137044813,Livia Ολόσωμη φόρμα,0.54,Average,yes,2017
85,eirys-skirt,10563065413965,Eirys Skirt,0.54,Average,yes,2016
86,rayne-pants,10564908613965,Rayne Παντελόνα,0.53,Average,yes,2358
87,sylla-dress,10566150095181,Sylla Φόρεμα,0.52,Average,yes,2003
88,krista-dress,10566185877837,Krista Φόρεμα,0.52,Average,yes,1672
89,myriam-dress,10566163464525,Myriam Φόρεμα,0.51,Average,yes,2321
90,indira-top,10563199992141,Indira Τοπ,0.51,Average,yes,1918
91,nai-limited-dress,10571365515597,Nai LIMITED Φόρεμα,0.49,Low,yes,1841
92,zoe-kimono,10564757815629,Zoe Κιμονό,0.46,Low,yes,1751
93,calypso-pants,10559196856653,Calypso Παντελόνα,0.42,Low,yes,1288
94,zaria-skirt,10563065872717,Zaria Skirt,0.42,Low,yes,1598
95,indy-top,10563435102541,Indy Τοπ,0.41,Low,yes,1665
96,myra-skirt,10563057189197,Myra Skirt,0.38,Low,yes,1257
97,ophelia-skirt,10563290530125,Ophelia Skirt,0.37,Low,yes,926
98,zoe-cape,10563437789517,Zoe Κάπα,0.36,Low,yes,1297
99,zelda-dress,10564934369613,Zelda Φόρεμα,0.36,Low,yes,1415
100,parker-dress,10566126928205,Parker Φόρεμα,0.34,Low,yes,1493
101,livia-kimono,10564754964813,Livia Κιμονό,0.34,Low,yes,1062
102,calypso-top-blue,10559164318029,Calypso Τοπ γαλάζιο,0.32,Low,yes,959
103,calypso-shirt-pink,10559193186637,Calypso Πουκάμισο ροζ,0.30,Low,yes,859
104,zelda-kimono,10566049726797,Zelda Κιμονό,0.28,Low,yes,1059
105,arla-top,10566363447629,Arla Τοπ,0.28,Low,yes,1033
106,ophelia-top,10563189473613,Ophelia Τοπ,0.27,Low,yes,862
107,lyla-kimono,10564749328717,Lyla Κιμονό,0.27,Low,yes,1032
108,stella-skirt,10563313762637,Stella Skirt,0.25,Low,yes,1092
109,argenta-dress,10564890132813,Argenta Φόρεμα,0.25,Low,yes,820
110,melissa-top,10566027510093,Melissa Τοπ,0.24,Low,yes,859
111,indira-kimono,10563362685261,Indira Κιμονό,0.24,Low,yes,969
112,myra-top-1,10563042214221,Myra Τοπ,0.23,Low,yes,584
113,rhia-top,10563437035853,Rhia Τοπ,0.22,Low,yes,963
114,opal-top,10563436282189,Opal Τοπ,0.21,Low,yes,890
115,debbie-shirt,10564590010701,Debbie Πουκάμισο,0.19,Low,yes,545
116,elma-pants,10566039175501,Elma Παντελόνα,0.18,Low,yes,585
117,shona-top,10564592664909,Shona Τοπ,0.17,Low,yes,467
118,sundra-top,10566352666957,Sundra Τοπ,0.16,Low,yes,554
119,selma-dress,10566095241549,Selma Φόρεμα,0.13,Low,yes,601
120,s26-1008,10563044606285,Eirys Τοπ,0.12,Low,yes,380
121,matilda-dress,10566105825613,Matilda Φόρεμα,0.10,Low,yes,459
122,ines-shirt,10564583817549,Ines Πουκάμισο,0.08,Low,yes,307
123,ines-pants-1,10564803887437,Ines Παντελόνα,0.07,Low,yes,308
