position,handle,product_id,title,ratio_in_collection,tier,sold_out,views_90d
1,tamara-jumsuit,10834724651341,Tamara Jumsuit,1.52,New,no,1146
2,bianca-jumsuit,10834721472845,Bianca Jumsuit,1.40,New,no,955
3,leontine-jumsuit,10834723045709,Leontine Jumsuit,1.00,New,no,698
4,rafaela-jumsuit,10834723832141,Rafaela Jumsuit,0.83,New,no,524
5,katia-jumsuit,10834722324813,Katia Jumsuit,0.69,New,no,347
